,Name,Age,Avg_mark
755,Gilberto Hall,30,1.5
1064,Melissa Collazo,30,7.0
1275,Lester Gordon,30,1.36
1107,Peggy Sanders,30,1.26
4763,John Orlowski,30,4.28
1106,Nannette Daws,30,5.88
3230,Richard Hughes,30,2.76
2260,Tanya Mcgowan,30,8.14
592,Fabian Bowers,30,2.69
1701,John Bouchard,30,4.99
3661,Patrice Mackiewicz,30,1.73
4139,Theresa Tyrrell,30,7.14
2281,Sandra Yochum,30,9.56
1693,Bernice Hewell,30,7.12
598,Numbers Phillips,30,5.75
1692,Thomas England,30,2.06
287,Richard Robinson,30,4.77
1282,James Abraham,30,3.85
2285,Kelly Kosinski,30,1.19
283,Helen Albert,30,0.5
3670,Christopher Fleming,30,1.02
4141,Robert Pike,30,8.27
1094,Maria Victorine,30,1.63
4291,Newton Sierra,30,6.21
1087,Anthony Hatch,30,0.51
4759,Donald Eck,30,9.16
305,Thomas Williams,30,5.15
1703,Robert Knee,30,9.41
2210,Tina Holland,30,3.05
1746,Mary Fletcher,30,3.31
339,Stephanie Petty,30,3.6
4118,Toby Kirby,30,1.85
4535,Mavis Chavez,30,3.74
2191,Mary King,30,0.19
4373,Jeremy Hanson,30,2.41
3279,Raymond Garcia,30,9.14
4121,Bernadine Silva,30,5.21
1264,Pamela Orenstein,30,3.84
4736,Patricia Mueller,30,3.5
3273,Paul Avey,30,3.42
3250,Rick Morreale,30,6.35
1265,April Khan,30,1.27
4002,Franklin Harvey,30,2.44
584,Azucena Mehling,30,1.95
2219,Michael Mackson,30,3.37
1712,Beth Portales,30,9.76
4527,Jorge Gonsalves,30,9.67
4749,Donald Allen,30,1.36
4751,Mandi Haire,30,0.22
2235,Tina Gomez,30,0.12
4122,Elvie Summers,30,9.14
2296,Jean Gard,30,9.44
3672,James Reese,30,0.5
3203,Allison Quezada,30,4.33
3686,Donna Dorsey,30,9.35
2363,Marylou Sturgill,30,8.49
3169,Lasandra Nicholson,30,8.52
240,Joseph Cecena,30,2.47
613,Cory Bales,30,3.27
3166,Jason Allen,30,2.15
237,Rick Tachauer,30,1.37
3165,Carmen Watson,30,3.1
3679,Nena Bertran,30,9.53
2375,Carl Anthony,30,0.48
617,Laura Rodriguez,30,3.9
227,Phillip Williams,30,8.71
244,Jacob Evans,30,3.58
3693,Randy Dutcher,30,8.61
4820,Anthony Pergola,30,1.59
3696,Carl Hall,30,0.18
4822,Esther Price,30,8.54
4507,Albert French,30,5.75
3145,Ramon Wheeler,30,8.71
2397,William Leyva,30,1.21
4152,Terry Lorenz,30,3.53
1648,Amy Corry,30,3.84
909,Betty Turner,30,3.02
3510,Donna Brant,30,2.04
1675,Tam Coble,30,3.58
273,Sandra Barnes,30,5.9
261,Sylvia Mendez,30,8.04
272,Marjorie Meyer,30,2.62
2315,Barbara Vincent,30,3.23
3193,Verna Hughes,30,5.39
4147,Alejandro Black,30,5.02
3191,Patrick Breitenstein,30,9.03
267,Debby Joseph,30,8.08
3190,Gabriel Bellendir,30,8.35
2324,Willard Billings,30,1.65
896,Agnes Diaz,30,7.96
897,Ruth Gramham,30,2.28
1081,Tameka Young,30,6.8
2356,Edward Rhodes,30,1.44
258,Toni Gossett,30,8.87
2338,Ella Carroll,30,0.74
4517,Jonathan Water,30,6.04
2344,Joshua Kitterman,30,6.32
1677,Matthew Vong,30,2.31
2351,Christopher Pina,30,3.36
4789,Ethel Valdes,30,8.4
2352,Sandra Tremblay,30,8.12
4791,Timothy Flores,30,6.3
2354,Steven Rector,30,6.13
344,Keith Garcia,30,0.35
4117,Gavin Mathias,30,4.32
1750,Charles Saylor,30,6.17
513,David Ward,30,8.42
3431,Marty Youngblood,30,1.01
1997,Charlotte Hall,30,6.08
446,Jeremy Forsyth,30,6.76
1855,Russ Losada,30,4.43
4342,Donna Townsend,30,3.9
3413,Kenneth Reeves,30,7.56
2011,Paul Rosenblum,30,5.05
4073,John Hundley,30,1.68
1853,Frances Devoe,30,3.8
437,Vickie Ainslie,30,5.78
514,Brian Casillas,30,7.34
1988,Raymond Quiroga,30,4.26
1179,Joyce Gallagher,30,9.57
2018,Thomas Franks,30,7.25
825,Angela Noble,30,2.09
1832,Marilyn Johnson,30,4.6
4625,Heriberto Ward,30,9.65
4084,John Langeness,30,1.43
1233,Sally Allison,30,9.12
421,Deborah Richardson,30,7.04
3558,Stephen Carpenter,30,5.96
4088,Arlene Evans,30,2.92
4580,Anne Thompson,30,6.68
4581,Alan Mcfarling,30,8.88
4100,John Parks,30,5.36
1947,Michelle Purington,30,0.61
3507,Patricia Long,30,5.73
1916,Viola Eller,30,3.5
1908,Corinne Schenck,30,6.79
963,Ana Morton,30,6.6
1928,Mark Hedges,30,5.66
478,Jose Pickhardt,30,4.58
1933,David Hartley,30,3.54
1893,Phillip Simpon,30,6.11
4060,Adam Oshaughnessy,30,0.59
1213,Leroy Fortman,30,1.04
1949,Nicholas Coviello,30,8.64
1865,Randy Freeman,30,6.75
1193,Todd Wood,30,9.52
3472,Ashley Christie,30,2.48
497,Douglas Bernard,30,3.79
3467,Tony Kuzma,30,7.96
498,Mona Stengel,30,5.4
1187,Chanel Fisher,30,5.84
461,Kirstin Cobian,30,2.2
1872,Fern Hollenbeck,30,0.28
4343,Timothy Mcdevitt,30,5.54
1226,Antonio Serrano,30,6.68
4092,John Berry,30,1.68
2052,Hilda Peterson,30,1.62
2168,Ellen Watts,30,5.14
3328,Jane Smith,30,5.1
4551,James Kobayashi,30,3.01
4682,Ben Reames,30,9.16
3594,Robert Kellum,30,8.44
2114,Lisa Marroquin,30,8.03
550,Luis Ingram,30,9.39
4111,Kenneth Wolfe,30,7.13
1244,Constance Guerrero,30,0.79
1245,John Pirtle,30,8.07
4021,Harry Nunez,30,6.71
1133,Mary Palovick,30,6.19
555,May Bowie,30,0.91
1788,Betty Jones,30,2.95
558,Edith Pinney,30,9.63
4706,Marjorie Ruiz,30,0.44
3326,Elsie Hasson,30,7.72
4112,Paul Johnson,30,4.29
3314,Mary Crawford,30,6.74
560,Denise Ogrady,30,7.0
873,Thomas Simon,30,1.12
4543,Terri Basquez,30,6.47
2157,Doris Rossi,30,2.89
2159,Grant Gramham,30,4.82
2103,Clyde Ammons,30,2.67
4555,Sylvia Nelson,30,9.42
4025,Donald Hess,30,5.71
3352,Esta Gomez,30,1.06
2054,Shelley Gold,30,6.4
3372,Carl Ross,30,3.18
2062,Ruth Sweeney,30,8.97
2064,Christina Cason,30,0.59
4024,Mindy Leslie,30,6.88
2075,Paula Ewy,30,6.59
1144,Rachel Hinkel,30,5.17
1138,Donna Woodring,30,3.84
3584,Cynthia Schneider,30,8.58
3353,Christine Gardner,30,1.19
4659,Daniel Postma,30,4.5
543,Ruth Davis,30,2.45
3351,Jordan Schweinfurth,30,9.54
861,Nancy Fox,30,7.39
4328,Phillip Smith,30,0.09
391,Ronald Bordelon,30,6.95
1137,Brenda Fitzgibbon,30,6.91
4669,Kelly Newman,30,5.28
4364,Gladys Radcliff,30,9.1
4110,Lucy Callaway,30,3.68
1241,Charles Stewart,30,1.8
4675,Lucile Buchner,30,0.42
2408,Stephen Cremin,30,4.39
243,Ronald Bennett,30,6.86
1210,Lawrence Yepes,30,8.24
4272,Allan Tidwell,30,9.87
