Lori Thomas,23,3.63
Mary Stockton,26,4.64
Jose Graham,25,6.56
Jessica Williams,18,6.4
Erica Carlino,21,6.72
Steve Knight,30,3.7
Isabelle Paxton,24,8.15
Tonya Garrett,26,3.59
Margaret Little,22,6.25
Rodney Tague,29,1.02
Ana Perri,21,7.55
Michael Fritts,23,6.2
Janice Davis,30,6.02
Debra Sollenberger,23,3.56
Kelly Lawson,27,9.45
Elizabeth Baskin,18,6.68
Marion Prescott,19,0.27
John Lucia,27,7.7
Dorothy Sims,18,1.59
Leigh Withrow,28,5.73
Wendy Hajek,30,7.69
Aubrey Owens,21,6.38
Lisa Green,23,5.87
Matthew Imhof,23,1.84
Linda Veliz,23,7.06
Charles Montano,30,7.4
Anna Hurt,28,1.55
Kendra Lecy,19,3.65
Jana Ramos,24,0.9
Sandra Williemae,20,0.41
Lorriane Derr,28,7.19
Kristi Brown,27,5.84
Rodney Williams,29,9.22
Colleen Strader,20,1.45
Cole Thomas,25,3.01
Jennifer Rahm,25,5.08
Rita Wells,23,2.32
Linda Fitzpatrick,24,3.11
Eric Belz,18,4.88
Mary Pettey,24,4.74
Leslie Wiggins,30,8.81
Betty Bailey,28,9.81
Jon Soto,25,7.6
Kimberly Bowser,20,6.69
Cedric Smith,20,9.58
Glenn Haycraft,28,5.03
Marlon Cox,22,6.6
Mary Adams,27,5.36
Ronald Cloninger,30,4.95
Harry Allen,30,7.35
Richard Curley,26,4.96
Clarence Dowden,19,2.35
Brandon Pace,27,3.95
Giovanna Burchill,26,9.27
Ann Brown,30,5.17
Violet Bowles,28,5.81
Mary Wagner,25,7.97
James Karst,22,7.81
Jack Rodriguez,22,6.11
Ali Frisch,26,4.67
James Peterson,24,8.67
Fannie Kittrell,29,0.86
Larry Barber,19,5.19
Latoya Sweeden,22,3.15
Brett Maobi,23,4.1
Ashley Mcilvain,20,2.95
William Glenn,18,9.03
Kevin Letson,27,8.76
Heather Mcgee,26,3.25
Jason Mcmullan,27,3.17
Nick Nakano,25,6.02
Mickey Tola,22,0.35
Richard Johnson,27,9.71
Jeffery Ona,26,6.61
Marjorie Minchew,24,5.1
Ella Angel,27,3.36
David Jordan,30,2.79
Christine Brayman,23,7.69
Jennifer Sinclair,26,8.01
Hugh Hays,23,1.25
Teresa Marotta,30,8.55
William Eckard,18,4.29
Gregory Smith,20,2.64
Cheryl Holstein,29,0.84
Jamie Elliott,18,7.32
Iva Baranoski,18,1.03
Scott Furman,22,4.57
Lela Grosso,24,2.97
Carmen Jones,21,0.65
Karen Beaman,22,2.28
Irene Bennett,27,5.12
Mary Nunn,28,0.27
Linda Fasano,28,5.74
Donald Mcglaughlin,23,8.13
Roberta Vinson,23,5.38
Lloyd Bishop,18,5.73
Martha Washington,27,6.44
Shawn Galvan,24,5.61
Susan Allen,23,5.77
Edward Green,30,1.66
Tracy Martin,24,5.54
Shirley Johnson,30,9.77
Felipe Pines,22,4.5
Timothy Adam,23,0.87
Manuel Rankin,24,0.96
Mary Beltrami,24,1.71
Douglas Cardero,27,4.84
Robert Nelms,18,9.35
Sharon Rowley,27,9.79
David Weis,21,0.71
Russell Heck,28,6.9
Kathryn Kennedy,24,4.81
Loretta Young,23,2.23
Robert Armstrong,18,1.26
Marylou Wessner,30,9.46
Larry Lee,28,3.36
Julie Maxwell,18,0.04
Jennifer Mark,19,3.78
Elizabeth Rogers,27,4.99
Anna Brew,21,7.37
Rosie Seals,28,1.27
Daniel Delfuente,23,5.05
William Kenison,22,4.81
Tiffany Tripp,25,8.82
Donald Bowers,25,7.8
Paul Peppers,22,6.21
Jorge Franz,22,2.83
Christopher Dehart,19,9.88
Cynthia Kelley,29,7.44
Gary Reid,21,3.0
Carmen Burnell,28,2.22
Valerie Zurita,29,9.09
James Taylor,23,7.71
Andrew Hibbler,29,8.21
Tabitha Kass,21,1.48
William Rayl,24,7.62
William Roberts,18,2.65
Mary Grev,24,4.14
Amy Wilson,30,2.71
Romeo Wheeler,19,9.64
Charles Johnson,30,6.04
Marlene Maloney,26,0.45
Michael Mays,27,7.87
Gabriel Collins,27,3.24
Adan Hermann,27,2.98
Cassandra Trout,26,7.79
Norma Irvine,22,0.61
Jenifer Williams,23,2.93
Brian Silvestri,27,3.51
Eric Sawyer,24,9.2
Ernestine Jenkins,30,10.0
Catherine Harvey,19,8.59
John Taylor,18,8.01
Luther Grandfield,24,6.77
Angela Nicewander,28,3.18
Clemente Parks,29,8.44
Daryl Wells,25,5.63
Eleanor Weingard,28,8.62
Julie Castro,18,0.07
Marva Allen,19,8.63
Treva Sommers,19,0.29
Brian Bailey,18,4.09
Jennifer Root,23,1.45
Mary Johansen,22,4.1
Benjamin Kingston,29,2.66
Dong Christian,20,2.54
Britt Flores,29,0.44
Melissa Gose,18,4.47
Leroy Whitener,18,5.11
George Thigpen,29,4.18
Shirley Hogan,19,5.51
Angela Lovick,28,9.92
Carolyn Jenkins,21,7.18
Marcus Furukawa,30,0.29
Ethel Millsaps,26,5.91
Thelma Murray,29,4.53
Tiffany Daniels,27,6.96
Kevin Jackson,24,4.31
Katelyn Scheffel,25,2.48
Darin Miller,26,8.33
Michelle Soto,23,2.93
Carmen Cunningham,18,7.01
Willie Flipp,22,5.93
Kenneth Lowe,23,6.98
Freddy Gallon,19,5.94
William Downes,20,0.06
Jennifer Proffitt,28,8.92
Jenette Hicks,19,4.86
Leonard Butler,28,0.61
Carol Oiler,22,3.48
Tanner Pedraza,20,6.81
Floyd Stribling,26,7.2
Lori Bethel,20,6.86
Carly Jensen,27,0.18
Joe Buehler,21,6.94
Letty Stiegman,20,4.44
James Reeves,30,3.36
Catherine Garrett,18,4.15
Randall Kelly,27,2.64
Michele Graves,30,9.06
Karen Robertson,26,0.68
Shannon Mccullar,21,5.76
Howard Sukhu,24,8.62
Carol Mora,21,4.71
Marjorie Veronesi,18,5.26
Emanuel Nagle,22,1.73
Shane Hernandez,26,5.14
John Kinney,23,2.2
Gloria Sample,23,0.45
Darren Moscato,26,1.38
Karine Norton,25,3.13
Bruce Stroud,28,3.11
Eric Jackson,26,0.51
Scott Jackson,25,1.1
Grady Collins,23,3.21
James Schwartz,19,5.57
Lauren Brinks,18,2.32
Valentin Hill,23,5.71
Ernestine Streeter,27,8.93
Edith Pendley,20,7.48
Nelson Thorpe,28,2.46
Isaac Daniel,22,4.33
Kimberly Ullmann,20,0.65
Sylvia Pineda,24,9.77
Annette Miller,27,2.74
Geoffrey Ballard,22,4.42
Harriett Lawrence,20,9.7
Margery Long,21,7.94
Phillip Williams,30,8.71
Rhonda Hickman,26,3.56
Lee Bradley,29,8.91
John Welling,20,9.86
Norris Slater,19,2.6
Daniel Lee,18,3.56
William Hof,24,3.48
Donna Hilton,21,6.86
Joyce Davis,20,7.17
Christine Beal,26,7.7
Rick Tachauer,30,1.37
Cheryl Amaya,19,3.42
Cletus Walker,18,2.23
Joseph Cecena,30,2.47
William Fowler,22,4.21
Charles Ali,28,9.33
Ronald Bennett,30,6.86
Jacob Evans,30,3.58
Robert Looft,23,3.54
Elaine Moss,19,8.1
Carlos Wood,21,0.54
Teresa Williams,18,6.55
Mai Reed,22,7.29
Patricia Gizzi,26,2.38
Miles Thompson,21,0.09
Marvin House,19,2.51
Juanita Mckenny,28,7.74
Oliver Gilmore,26,4.5
Brian Watts,24,6.33
Maria Stephenson,25,6.49
Patricia Vargas,28,6.21
Toni Gossett,30,8.87
Laura Walker,27,6.04
Brian Kaiser,28,0.61
Sylvia Mendez,30,8.04
Chad Kling,22,1.49
Vernia Siegel,18,9.89
Rosa Murray,24,2.84
Eric Davis,26,7.99
Ramon Clements,25,6.31
Debby Joseph,30,8.08
Deb Watson,26,5.0
Kristie Brand,26,7.37
William Donatich,19,4.39
Judy Callan,20,3.73
Marjorie Meyer,30,2.62
Sandra Barnes,30,5.9
Catherine Warner,21,1.21
Stephen Munns,26,5.64
Alberta Hane,26,5.83
Daryl Williams,23,3.59
Heather Falls,18,2.51
Barbara Mcfarland,24,5.55
James Chee,20,4.99
Winston Benge,18,1.97
Dale Mays,26,1.05
Helen Albert,30,0.5
Wesley Odonal,28,7.67
Ebony Unger,21,8.7
Paul Cruz,18,6.39
Richard Robinson,30,4.77
Vicente Jordan,28,6.83
Reuben Northey,24,7.25
Alberto Young,29,1.01
Pamela Mazza,20,9.66
Janice Solis,21,1.44
Suzanne Marquez,23,8.38
Anthony Booth,19,0.28
Carma Ramos,20,7.69
Susan Willis,28,8.81
Bonnie Hill,22,4.8
Antonina Hickman,26,1.73
Virginia Moore,18,2.58
